k,i,s,integral
1,1,1,21235000000
1,1,2,21235000000
1,1,3,21235000000
1,1,4,21235000000
1,1,5,16988000000
1,1,6,16988000000
1,1,7,16988000000
1,1,8,16988000000
1,1,9,12741000000
1,1,10,12741000000
1,1,11,12741000000
1,1,12,12741000000
1,2,1,20149250000
1,2,2,20149250000
1,2,3,22519750000
1,2,4,22519750000
1,2,5,12089550000
1,2,6,12089550000
1,2,7,13511850000
1,2,8,13511850000
1,2,9,3318700000
1,2,10,3318700000
1,2,11,4503950000
1,2,12,4503950000
1,3,1,14496300000
1,3,2,16107000000
1,3,3,19673550000
1,3,4,20709000000
1,3,5,7248150000
1,3,6,9664200000
1,3,7,9940320000
1,3,8,12425400000
1,3,9,1380600000
1,3,10,1840800000
1,3,11,3313440000
1,3,12,4141800000
